City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,mont-laurier,46.5501,-75.4993,-7.21,89,65,1.52,CA,2023-12-03
222,isangel,-19.55,169.2667,28.06,74,40,4.63,VU,2023-12-03
223,hamilton,39.1834,-84.5333,9.44,87,100,2.57,US,2023-12-03
224,faya-largeau,17.9257,19.1043,21.0,18,7,6.33,TD,2023-12-03
225,oranjemund,-28.55,16.4333,17.33,78,10,6.35,NA,2023-12-03
226,moa,20.6569,-74.9403,26.45,78,55,6.05,CU,2023-12-03
227,una,20.8167,71.0333,29.59,55,11,5.39,IN,2023-12-03
228,sitka,57.0531,-135.33,5.94,56,0,3.09,US,2023-12-03
229,saint-pierre,-21.3393,55.4781,28.65,83,100,4.12,RE,2023-12-03
230,axim,4.8699,-2.2405,24.38,93,19,1.01,GH,2023-12-03
231,lumina,44.2833,28.5667,10.56,76,0,4.63,RO,2023-12-03
232,deqen,29.9618,90.7188,4.37,11,0,3.33,CN,2023-12-03
233,i-n-salah,27.1935,2.4607,17.53,15,0,3.08,DZ,2023-12-03
234,harper,4.375,-7.7169,26.06,85,6,3.63,LR,2023-12-03
235,palo santo,-25.5633,-59.3378,27.62,73,75,2.97,AR,2023-12-03
236,aliveri,38.4167,24.0333,17.83,91,100,4.45,GR,2023-12-03
237,ende,-8.8432,121.6623,30.42,69,99,2.03,ID,2023-12-03
238,eyl,7.9803,49.8164,28.84,45,97,9.48,SO,2023-12-03
239,pauini,-7.7136,-66.9764,22.31,98,42,0.98,BR,2023-12-03
240,alice springs,-23.7,133.8833,36.75,14,14,3.6,AU,2023-12-03
241,weno,7.4515,151.8468,30.97,70,75,4.63,FM,2023-12-03
242,wloclawek,52.6482,19.0678,-1.38,98,100,2.63,PL,2023-12-03
243,kayangel,8.0823,134.7173,28.75,78,74,7.44,PW,2023-12-03
244,aras-asan,8.8908,126.3033,27.97,79,84,2.81,PH,2023-12-03
245,shache,38.4167,77.2406,7.24,24,93,1.68,CN,2023-12-03
246,almazan,41.4865,-2.5309,-1.79,87,11,1.43,ES,2023-12-03
247,yambio,4.5721,28.3955,23.64,81,31,1.78,SS,2023-12-03
248,san pedro pochutla,15.7333,-96.4667,23.63,77,53,1.31,MX,2023-12-03
249,springs,-26.25,28.4,22.4,28,36,3.41,ZA,2023-12-03
250,bagayevskaya,47.32,40.38,12.27,78,100,5.03,RU,2023-12-03
251,coquimbo,-29.9533,-71.3436,13.85,88,0,1.03,CL,2023-12-03
252,ciudad bolivar,8.1222,-63.5497,24.43,84,22,3.54,VE,2023-12-03
253,xiaoweizhai,26.1903,107.5125,8.33,93,100,1.26,CN,2023-12-03
254,kaoma,-14.7833,24.8,22.81,72,43,2.48,ZM,2023-12-03
255,kanye,-24.9667,25.3327,24.78,19,5,3.65,BW,2023-12-03
256,sarapul,56.4763,53.7978,-13.54,97,67,2.41,RU,2023-12-03
257,chipinge,-20.1883,32.6236,23.38,38,1,1.16,ZW,2023-12-03
258,cabo san lucas,22.8909,-109.9124,22.51,66,0,1.54,MX,2023-12-03
259,talnakh,69.4865,88.3972,-33.1,91,13,0.8,RU,2023-12-03
260,puerto san jose,13.9256,-90.8244,25.04,84,6,2.43,GT,2023-12-03
261,moroni,-11.7022,43.2551,28.03,72,59,1.85,KM,2023-12-03
